hom_2_9 saving%1:04:02:: save%2:41:02::
hom_1211_5 load%2:35:01:: loaded%3:00:00::
hom_1214_9 pick%1:09:00:: pick%1:06:01::
hom_1215_14 patch%1:07:00:: patch%1:15:00::
hom_1217_9 shelve%2:35:10:: shelve%2:42:00::
hom_1224_17 spin%1:11:00:: spin%2:38:01::
hom_1227_6 take%2:41:04:: take%2:42:00::
hom_1232_16 driving%1:04:00:: drive%2:38:01::
hom_1234_12 run%1:04:00:: run%2:38:00::
hom_1239_12 sum%1:09:01:: sum%1:21:00::
hom_1241_4 bypass%1:08:00:: bypass%2:32:00::
hom_1245_4 remain%2:42:05:: remains%1:17:00::
hom_1246_7 vegetate%2:29:01:: vegetate%2:30:01::
hom_1247_8 refine%2:30:01:: refine%2:30:00::
hom_1249_8 cast%1:14:00:: cast%2:40:13::
hom_1251_18 turn%1:25:00:: turn%2:38:00::
hom_1257_11 engage%2:41:06:: engage%2:31:00::
hom_1262_11 strain%1:26:02:: strain%1:14:01::
hom_1267_16 direction%1:15:00:: direction%1:10:00::
hom_1268_10 milk%1:13:01:: milk%1:08:00::
hom_1269_11 underworld%1:09:00:: underworld%1:14:00::
hom_1274_12 make%2:36:00:: make%2:36:08::
hom_1275_20 channel%1:06:02:: channel%1:10:01::
hom_1277_6 take%2:41:04:: take%2:40:00::
hom_1278_16 cavity%1:08:00:: cavity%1:17:00::
hom_1279_18 heat%2:30:00:: heated%3:00:00:hot:01
hom_1281_7 drawing%1:10:00:: draw%2:42:02::
hom_1283_15 cold%1:07:00:: cold%3:00:01::
hom_1291_6 rave%2:32:00:: rave%2:41:00::
hom_1292_15 go%2:38:00:: go%2:38:01::
hom_1294_13 heat%2:30:01:: heat%2:30:00::
hom_1295_8 bust%2:35:01:: bust%2:41:00::
hom_1296_12 highlight%1:24:00:: highlight%2:30:00::
hom_1298_3 boil%2:30:00:: boil%2:30:02::
hom_1300_10 sentence%1:04:00:: sentence%1:10:00::
hom_1301_13 impact%1:11:00:: impact%1:19:00::
hom_1302_14 stick%2:38:00:: stick%2:35:00::
hom_1304_11 commission%1:10:01:: commission%1:14:00::
hom_1305_8 interest%1:09:00:: interest%1:21:03::
hom_1309_25 fly%1:05:00:: fly%2:38:00::
hom_1310_8 skeleton%1:08:00:: skeleton%1:23:00::
hom_1314_14 breaking%1:04:00:: break%2:30:00::
hom_1315_7 credit%1:21:02:: credit%1:10:00::
hom_1317_15 develop%2:30:04:: develop%2:30:06::
hom_1320_7 file%1:06:00:: file%2:32:02::
hom_1323_9 judgment%1:04:00:: judgment%1:09:04::
hom_1327_18 lead%2:38:01:: lead%1:04:01::
hom_1329_8 saving%1:04:02:: save%2:41:01::
hom_1331_17 ring%2:39:00:: ring%1:06:02::
hom_1334_10 impress%2:37:00:: impressed%3:00:00:affected:00
hom_1336_9 react%2:31:00:: react%2:30:00::
hom_1339_17 mark%1:10:02:: mark%2:39:00::
hom_1340_7 draw%2:35:03:: draw%2:36:00::
hom_1342_12 resort%1:15:00:: resort%1:07:00::
hom_1343_12 cram%2:31:00:: cram%2:35:00::
hom_1344_10 express%2:32:01:: express%2:39:09::
hom_1345_16 connection%1:24:00:: connection%1:26:00::
hom_1348_13 lie%2:32:00:: lie%2:42:03::
hom_1349_12 point%2:32:00:: pointed%3:00:00::
hom_1351_10 undertaking%1:04:00:: undertake%2:32:00::
hom_1352_7 boring%1:04:01:: boring%3:00:00:uninteresting:00
hom_1356_15 pupil%1:08:00:: pupil%1:18:01::
hom_1358_9 run%2:33:01:: run%2:38:00::
hom_1359_26 serve%2:33:00:: serve%2:41:01::
hom_1363_10 dribbling%1:04:00:: dribble%2:35:00::
hom_1367_16 web%1:06:02:: web%1:17:00::
hom_1369_2 nail%2:35:02:: nail%2:35:00::
hom_1372_10 try%1:04:00:: try%2:41:00::
hom_1373_9 rib%1:13:00:: rib%1:08:01::
hom_1377_12 drift%1:22:01:: drift%2:38:04::
hom_1379_8 keep%2:40:00:: keep%2:41:03::
hom_1381_14 shot%1:04:00:: shoot%2:31:00::
hom_1382_12 lie%2:32:00:: lie%2:42:00::
hom_1384_12 brush%1:14:00:: brush%2:35:01::
hom_1387_20 shake%2:38:00:: shake%1:04:01::
hom_1389_8 astronomical%3:01:00:: astronomical%3:00:00:large:00
hom_1394_8 break%2:30:00:: break%2:38:11::
hom_1395_12 scale%1:05:00:: scale%1:24:03::
hom_1396_10 strain%1:19:00:: strain%1:10:00::
hom_1397_6 striking%3:00:00:impressive:00 strike%2:35:00::
hom_1400_19 strike%1:04:00:: strike%2:41:00::
hom_1401_13 console%1:06:00:: console%1:06:03::
hom_1403_10 figure%1:23:00:: figure%1:18:00::
hom_1404_15 flap%1:06:00:: flap%1:08:00::
hom_1407_4 run%2:38:00:: run%1:11:02::
hom_1408_13 sentence%1:10:00:: sentence%1:04:00::
hom_1410_9 taste%1:09:01:: taste%1:12:02::
hom_1414_16 multiply%2:31:00:: multiply%2:30:00::
hom_1416_20 fall%1:28:00:: fall%1:04:01::
hom_1417_10 interest%1:21:03:: interest%1:09:00::
hom_1423_15 guide%1:10:00:: guide%2:38:01::
hom_1424_20 push%1:04:00:: push%2:38:00::
hom_1428_8 punch%1:04:00:: punch%2:35:00::
hom_1429_26 single%3:00:00:: single%3:00:00:unshared:00
hom_1431_10 fall%1:04:01:: fall%2:42:00::
hom_1432_10 attraction%1:07:00:: attraction%1:19:00::
hom_1433_10 measure%1:03:00:: measure%1:06:00::
hom_1435_17 advance%2:30:08:: advance%2:32:00::
hom_1436_9 shuffle%1:04:01:: shuffle%1:04:00::
hom_1437_15 drive%2:38:00:: drive%2:38:02::
hom_1439_11 level%1:07:00:: level%1:06:01::
hom_1441_9 hiding%1:04:00:: hide%2:39:01::
hom_1449_20 deal%2:40:02:: deal%2:40:06::
hom_1450_9 discharge%2:41:01:: discharge%2:35:06::
hom_1458_1 stamp%1:10:01:: stamp%1:10:02::
hom_1462_18 pocket%1:06:00:: pocket%1:21:00::
hom_1463_17 concrete%1:27:00:: concrete%3:00:00::
hom_1465_17 foggy%3:00:00:opaque:00 foggy%3:00:00:indistinct:00
hom_1466_23 cast%1:14:00:: cast%1:06:00::
hom_1469_4 date%2:41:00:: date%2:31:02::
hom_1470_5 tip%2:40:00:: tip%2:30:04::
hom_1471_11 fold%2:30:10:: fold%2:30:00::
hom_1477_15 tack%1:06:01:: tack%1:15:00::
hom_1479_22 plot%1:10:00:: plot%1:15:00::
hom_1483_12 mop%2:35:01:: moped%1:06:00::
hom_1486_5 candid%3:00:00:direct:02 candid%3:00:00:unstudied:00
hom_1488_18 lead%2:38:01:: lead%1:04:01::
hom_1492_14 run%1:11:03:: run%2:33:06::
hom_1495_23 develop%2:30:04:: develop%2:29:00::
hom_1496_16 shape%1:09:00:: shape%1:08:00::
hom_1497_12 return%1:10:01:: return%1:11:02::
hom_1499_9 still%4:02:01:: still%4:02:02::
hom_1501_12 animated%3:00:00:moving:03 animated%3:00:00::
hom_1502_7 window%1:06:03:: window%1:17:00::
hom_1504_10 function%1:07:00:: function%1:04:00::
hom_1505_22 party%1:14:01:: party%1:14:00::
hom_1507_15 hitch%1:06:00:: hitch%1:28:00::
hom_1508_15 put%2:35:00:: put%1:04:00::
hom_1513_6 atmosphere%1:26:01:: atmosphere%1:23:00::
hom_1514_5 deep%4:02:00:: deep%3:00:00:low:03
hom_1516_14 move%2:38:01:: move%2:38:02::
hom_1517_14 chip%1:06:00:: chip%1:04:01::
hom_1518_18 filling%1:27:00:: filling%1:22:00::
hom_1519_10 touch%1:11:00:: touch%2:41:00::
hom_1521_9 suspend%2:35:00:: suspend%2:41:00::
hom_1527_18 collect%2:40:00:: collect%2:40:03::
hom_1532_14 rich%3:00:00:: rich%3:00:02::
hom_1534_17 pump%2:33:00:: pump%2:38:01::
hom_1535_10 cleanly%4:02:01:: cleanly%4:02:00::
hom_1538_6 umbrella%1:06:00:: umbrella%1:04:01::
hom_1539_10 disconnect%2:35:00:: disconnect%2:35:03::
hom_1542_9 turn%2:38:00:: turn%1:25:00::
hom_1543_14 execution%1:04:00:: execution%1:22:00::
hom_1545_17 picking%1:04:00:: pick%2:36:00::
hom_1549_14 strike%1:04:00:: strike%1:04:05::
hom_1553_11 scratch%2:39:00:: scratch%1:07:00::
hom_1557_6 storm%1:19:00:: storm%1:04:00::
hom_1558_9 stroke%1:11:01:: stroke%1:04:00::
hom_1559_10 count%1:23:00:: count%1:04:00::
hom_1560_7 high%3:00:02:: high%4:02:02::
hom_1561_16 column%1:10:00:: column%1:06:00::
hom_1564_14 floor%1:06:00:: floor%1:06:01::
hom_1569_9 fork%1:06:02:: fork%1:25:00::
hom_1570_11 recover%2:40:00:: recover%2:35:00::
hom_1573_6 dry%3:00:01:: dry%2:30:01::
hom_1574_15 grave%1:06:00:: grave%1:28:00::
hom_1578_10 dark%1:26:00:: dark%3:00:00:concealed:00
hom_1579_16 get%2:40:00:: get%2:40:01::
hom_1585_13 ground%1:16:00:: ground%1:17:00::
hom_1588_16 cut%1:04:02:: cut%1:04:01::
hom_1589_13 unravel%2:30:01:: unravel%2:35:01::
hom_1590_20 charge%1:10:00:: charge%1:10:04::
hom_1591_7 faint%3:00:00:cowardly:00 faint%3:00:00:perceptible:00
hom_1592_11 fold%2:35:00:: fold%2:30:10::
hom_1593_4 quarter%1:15:00:: quarter%1:21:00::
hom_1596_10 add%2:30:00:: add%2:32:00::
hom_1602_20 short%1:04:00:: short%1:06:01::
hom_1605_15 screw%2:35:04:: screwing%1:04:00::
hom_1608_11 chain%1:17:00:: chain%1:06:00::
hom_1609_16 stiff%1:18:00:: stiff%3:00:01:inflexible:01
hom_1610_11 coaster%1:18:00:: coaster%1:06:00::
hom_1615_7 make%2:36:00:: make%2:40:01::
hom_1616_7 ramble%2:42:00:: ramble%2:38:01::
hom_1617_15 stoop%1:06:01:: stoop%1:04:00::
hom_1618_13 vision%1:09:03:: vision%1:09:01::
hom_1624_9 disjointed%3:00:00:divided:00 disjoint%2:35:00::
hom_1625_14 makeup%1:06:00:: makeup%1:07:00::
hom_1627_10 release%1:22:00:: release%1:11:00::
hom_1628_10 stop%1:26:00:: stop%1:06:01::
hom_1632_15 choke%2:29:00:: choke%2:35:01::
hom_1635_11 point%1:23:01:: point%1:17:02::
hom_1636_11 chopper%1:06:00:: chopper%1:06:01::
hom_1638_12 move%2:38:03:: move%2:38:02::
hom_1642_6 hearing%1:04:00:: hearing%1:09:00::
hom_1645_11 caper%1:13:00:: caper%1:04:03::
hom_1646_7 latitude%1:15:00:: latitude%1:15:01::
hom_1647_10 circulation%1:10:00:: circulation%1:11:00::
hom_1648_11 light%1:19:00:: light%1:06:00::
hom_1650_6 grind%2:38:00:: grind%1:04:01::
hom_1651_22 phase%1:28:00:: phase%1:26:00::
hom_1653_13 light%1:06:00:: light%3:00:03::
hom_1655_6 tablet%1:06:00:: tablet%1:06:02::
hom_1657_9 layer%1:06:00:: layer%1:05:01::
hom_1658_10 spoil%2:30:00:: spoil%2:41:01::
hom_1663_8 unwind%2:35:06:: unwind%2:29:00::
hom_1666_5 parting%1:04:00:: parting%1:08:00::
hom_1670_10 interest%1:09:00:: interest%1:21:00::
hom_1671_10 attach%2:35:02:: attach%2:35:00::
hom_1675_10 revolution%1:11:00:: revolution%1:11:01::
hom_1678_1 beat%2:35:01:: beat%1:11:00::
hom_1680_9 heart%1:07:01:: heart%1:08:00::
hom_1682_14 light%1:19:00:: light%3:00:01::
hom_1686_7 charge%2:33:00:: charge%2:40:01::
hom_1687_13 work%1:04:00:: work%1:06:00::
hom_1689_7 vision%1:09:03:: vision%1:09:01::
hom_1690_4 fume%2:43:00:: fume%2:29:00::
hom_1691_15 proof%1:23:00:: proof%1:10:00::
hom_1692_11 backhand%2:35:00:: backhanded%3:00:00::
hom_1694_12 blow%2:29:00:: blow%2:39:05::
hom_1697_26 contact%1:06:00:: contact%1:10:00::
hom_1698_17 blaze%1:11:00:: blaze%1:07:00::
hom_1700_16 tire%2:29:01:: tire%2:29:00::
hom_1701_7 note%2:39:00:: note%1:10:00::
hom_1702_5 short%3:00:01:: short%3:00:00:insufficient:00
hom_1703_13 incense%2:37:01:: incense%1:27:00::
hom_1704_15 point%1:23:01:: point%1:15:00::
hom_1707_13 tie%1:06:04:: tie%1:26:01::
hom_1708_3 flag%2:30:00:: flag%2:32:00::
hom_1711_7 buzz%1:11:00:: buzz%2:42:00::
hom_1713_13 attractive%3:00:01:: attractive%3:00:00:appealing:00
hom_1714_8 change%1:19:00:: change%1:11:00::
hom_1715_7 bust%1:06:00:: bust%1:04:00::
hom_1720_15 sentence%1:04:00:: sentence%1:10:00::
hom_1727_11 bit%1:23:01:: bite%2:35:00::
hom_1729_10 table%1:06:01:: table%1:14:00::
hom_1734_12 dawn%2:30:00:: dawn%2:42:01::
hom_1735_4 swell%1:17:00:: swell%1:11:00::
hom_1739_11 high%3:00:02:: high%3:00:01::
hom_1742_20 circulation%1:11:00:: circulation%1:23:00::
hom_1744_12 sum%2:42:00:: sum%2:32:00::
hom_1748_19 skinny%1:10:00:: skinny%3:00:00:thin:03
hom_1749_15 pepper%2:33:00:: pepper%2:39:00::
hom_1750_11 stop%1:06:01:: stop%2:42:00::
hom_1753_14 pointless%3:00:00:: pointless%3:00:00:worthless:00
hom_1757_13 relish%1:12:02:: relish%2:37:00::
hom_1758_11 fed%1:14:00:: fed%1:18:00::
hom_1759_13 core%1:15:00:: core%1:17:01::
hom_1761_5 bar%2:32:00:: bar%1:06:04::
hom_1763_16 puzzle%2:31:00:: puzzle%1:06:00::
hom_1766_9 blaze%1:22:00:: blaze%1:11:00::
hom_1767_11 change%1:19:00:: change%1:11:00::
hom_1770_10 hacker%1:18:02:: hacker%1:18:01::
hom_1771_10 ribbing%1:04:00:: rib%2:36:00::
hom_1773_13 star%1:17:01:: star%1:18:00::
hom_1775_10 fault%1:17:00:: fault%1:04:00::
hom_1780_9 pile%1:14:00:: pile%1:06:02::
hom_1781_5 picture%2:36:01:: picture%2:36:00::
hom_1782_16 follow%2:38:00:: follow%2:42:00::
hom_1783_9 draw%1:04:00:: draw%2:38:01::
hom_1785_5 stick%1:06:00:: stick%2:42:00::
hom_1786_13 pick%2:31:00:: pick%2:35:00::
hom_1787_9 step%1:04:02:: step%1:26:00::
hom_1790_10 beat%1:10:00:: beat%1:11:00::
hom_1791_7 flop%1:11:00:: flop%1:22:00::
hom_1792_24 strike%1:04:00:: strike%1:04:02::
hom_1794_9 shorten%2:30:09:: shorten%2:30:01::
hom_1795_17 croak%1:10:00:: croak%2:30:00::
hom_1796_9 grave%1:06:00:: grave%3:00:00:serious:00
hom_1799_8 volume%1:07:02:: volume%1:07:03::
hom_1801_7 chop%1:13:00:: chop%1:04:00::
hom_1803_15 drop%1:25:00:: drop%2:38:00::
hom_1804_14 saw%1:06:00:: saw%2:35:00::
hom_1805_15 unwind%2:35:06:: unwind%2:35:00::
hom_1806_12 hit%1:04:03:: hit%2:35:05::
hom_1807_10 streak%1:14:00:: streak%1:11:00::
hom_1808_9 part%2:38:02:: part%2:41:00::
hom_1809_6 crude%1:27:00:: crude%3:00:00:unconditional:00
hom_1813_12 draft%1:10:00:: draft%1:21:00::
hom_1815_17 pinch%1:04:00:: pinch%1:23:00::
hom_1820_13 kickoff%1:11:00:: kickoff%1:04:00::
hom_1821_10 fire%1:04:00:: fire%1:22:00::
hom_1822_17 concentration%1:07:02:: concentration%1:09:00::
hom_1823_9 drive%1:06:02:: drive%1:06:01::
hom_1824_11 novel%3:00:00:original:00 novel%1:10:00::
hom_1825_2 huddle%1:10:00:: huddle%2:38:01::
hom_1826_12 pit%1:20:00:: pit%1:06:00::
hom_1831_8 wash%1:06:02:: wash%2:35:00::
hom_1832_9 heart%1:13:00:: heart%1:08:00::
hom_1833_10 sage%1:18:00:: sage%1:13:00::
hom_1834_5 dead%1:14:00:: dead%3:00:02::
hom_1835_8 sweeping%3:00:00:wide:00 sweep%2:35:00::
hom_1836_11 tidy%3:00:00:: tidy%1:06:00::
hom_1837_15 shot%1:04:00:: shoot%2:41:00::
hom_1840_16 tie%2:33:00:: tie%2:35:00::
hom_1849_7 blow%2:30:04:: blow%2:39:05::
hom_1851_9 croak%2:30:00:: croak%1:10:00::
hom_1852_9 snap%2:35:01:: snap%2:30:01::
hom_1854_3 pass%2:38:02:: pass%2:30:11::
hom_1855_4 repress%2:41:00:: repress%2:35:00::
hom_1856_7 dictate%2:32:00:: dictate%2:31:00::
hom_1858_7 beat%1:07:00:: beat%2:33:00::
hom_1860_11 pull%1:19:00:: pull%2:35:00::
hom_1862_20 service%1:04:08:: service%1:04:07::
hom_1863_8 score%1:23:00:: score%1:10:00::
hom_1872_9 joint%1:06:01:: joint%3:00:00:shared:00
hom_1875_13 point%2:32:00:: point%1:23:01::
hom_1877_14 era%1:28:00:: era%1:28:01::
hom_1878_16 shock%2:37:02:: shocked%3:00:00:afraid:00
hom_1880_10 hole%1:17:01:: hole%1:06:01::
hom_1883_13 bill%1:21:00:: bill%1:10:01::
hom_1884_19 drag%1:04:00:: drag%1:06:00::
hom_1885_13 block%1:04:00:: block%1:06:00::
hom_1886_13 fan%1:06:00:: fan%1:18:01::
hom_1891_9 magnetic%3:01:00:: magnetic%3:00:00::
hom_1894_17 shocking%3:00:00:immoral:00 shocking%3:00:00:sensational:00
hom_1906_8 keel%1:06:00:: keel%2:38:00::
hom_1913_13 form%1:09:01:: form%1:10:01::
hom_1915_6 grow%2:30:00:: grow%2:36:00::
hom_1917_11 hang%2:35:00:: hang%2:41:00::
hom_1921_24 stuff%2:35:00:: stuff%2:30:12::
hom_1922_9 press%2:35:00:: press%2:32:00::
hom_1923_13 fit%1:04:00:: fit%1:07:00::
hom_1924_19 cut%1:04:01:: cut%2:35:00::
hom_1925_12 ring%1:25:00:: ring%1:06:00::
hom_1926_8 speaker%1:18:00:: speaker%1:06:00::
hom_1927_11 peak%1:15:01:: peak%2:38:00::
hom_1929_12 rolling%1:04:00:: roll%2:30:06::
hom_1930_3 blow%2:39:05:: blow%2:35:08::
hom_1932_14 step%1:04:00:: step%1:06:00::
hom_1936_12 key%1:06:00:: key%3:00:00:important:00
hom_1938_5 touch%1:04:00:: touch%1:11:00::
hom_1940_14 spin%1:11:00:: spin%2:38:02::
hom_1941_9 reaction%1:22:00:: reaction%1:04:01::
hom_1942_9 wound%1:11:00:: wound%1:26:00::
hom_1943_4 flat%3:00:00:planar:00 flat%1:17:00::
hom_1944_11 find%2:40:00:: find%2:32:00::
hom_1945_10 standing%1:26:00:: stand%2:35:00::
hom_1946_19 derivative%1:27:00:: derivative%1:09:00::
hom_1947_15 incense%2:37:01:: incensed%3:00:00:angry:00
hom_1948_11 flaming%1:22:00:: flame%2:43:00::
hom_1951_16 count%1:18:00:: count%1:23:00::
hom_1952_17 space%1:03:00:: space%1:15:00::
hom_1954_22 see%2:39:00:: see%2:31:01::
hom_1957_11 address%1:15:00:: address%1:10:02::
hom_1960_6 twist%1:25:01:: twist%1:04:01::
hom_1963_10 react%2:31:00:: react%2:30:00::
hom_1964_8 flat%1:06:00:: flat%3:00:00:even:01
hom_1965_20 cover%2:42:01:: cover%2:35:00::
hom_1968_14 sweep%2:42:03:: sweep%2:38:01::
hom_1969_10 pull%1:04:00:: pull%2:41:00::
hom_1970_5 board%1:14:00:: board%1:27:00::
hom_1971_9 wrap%2:35:00:: wrap%2:35:01::
hom_1972_13 point%1:23:01:: point%1:23:00::
hom_1976_14 litter%2:35:00:: litter%2:42:00::
hom_1977_10 exhaust%2:34:00:: exhaust%2:29:00::
hom_1979_8 pas%1:04:00:: pass%2:40:00::
hom_1982_12 prime%3:00:02:first:00 prime%3:00:01:first:00
hom_1987_9 mugging%1:04:00:: mug%2:40:00::
hom_1988_14 plaster%2:35:11:: plaster%2:35:00::
hom_1990_3 kick%2:35:00:: kick%2:38:01::
hom_1991_16 point%2:32:00:: point%1:23:01::
hom_1992_5 web%1:17:00:: web%1:06:00::
hom_1994_11 turn%1:25:00:: turn%2:38:00::
hom_1996_6 ignite%2:43:01:: ignite%2:43:00::
hom_1999_7 beat%1:11:01:: beat%1:10:00::
hom_2002_5 number%1:23:00:: number%1:10:04::
hom_2004_10 motion%1:10:01:: motion%1:11:00::
hom_2005_7 wash%2:35:00:: wash%2:30:08::
hom_2009_17 plant%1:03:00:: plant%1:06:01::
hom_2010_11 agitate%2:38:01:: agitate%2:41:00::
hom_2011_15 nail%2:35:02:: nail%2:35:00::
hom_2015_8 sound%1:19:00:: sound%1:07:00::
hom_2017_11 cabinet%1:06:00:: cabinet%1:06:02::
hom_2018_16 bunk%1:06:00:: bunk%2:40:00::
hom_2019_13 shot%1:04:00:: shoot%2:41:00::
hom_2023_18 cut%1:04:02:: cut%1:04:05::
hom_2025_11 scoop%1:06:00:: scoop%1:23:00::
hom_2030_9 figure%1:21:00:: figure%1:23:00::
hom_2032_14 dead%1:14:00:: dead%3:00:01::
hom_2034_12 foot%1:08:01:: foot%1:23:00::
hom_2036_14 cut%1:04:01:: cut%1:04:02::
hom_2037_6 immerse%2:35:00:: immerse%2:35:01::
hom_2038_2 stand%2:35:00:: stand%2:42:00::
hom_2039_21 argument%1:10:02:: argument%1:10:04::
hom_2044_7 suit%1:06:00:: suit%1:04:00::
hom_2045_4 fiddle%2:36:02:: fiddle%2:35:03::
hom_2048_16 blossom%2:30:01:: blossom%2:30:00::
hom_2050_13 tax%2:34:00:: tax%2:40:00::
hom_2051_12 spirit%1:18:00:: spirit%1:18:01::
hom_2053_1 security%1:21:04:: security%1:06:00::
hom_2055_9 spot%2:39:00:: spotted%3:00:00:patterned:00
hom_2057_19 stall%2:30:00:: stall%2:42:00::
hom_2060_17 policy%1:10:02:: policy%1:10:00::
hom_2061_17 sheet%1:10:00:: sheet%1:06:00::
hom_2062_8 break%2:30:00:: break%2:38:11::
hom_2064_11 blowout%1:11:01:: blowout%1:11:00::
hom_2065_10 bluster%2:32:00:: bluster%2:43:00::
hom_2066_13 momentum%1:07:00:: momentum%1:07:01::
hom_2071_13 hit%2:35:03:: hit%1:04:03::
hom_2073_21 round%2:30:03:: round%2:38:00::
hom_2076_12 stroke%1:04:03:: stroke%1:04:04::
hom_2079_8 bluff%2:32:00:: bluff%2:33:00::
hom_2081_14 spot%1:15:01:: spot%2:30:00::
hom_2084_6 smell%2:39:00:: smell%2:39:01::
hom_2085_14 transparent%3:00:00:clear:02 transparent%3:00:00:thin:01
hom_2087_10 resistance%1:04:02:: resistance%1:04:00::
hom_2088_18 short%3:00:01:: short%3:00:02::
hom_2089_15 trunk%1:06:00:: trunk%1:08:00::
hom_2092_3 jump%1:04:02:: jump%2:38:00::
hom_2093_9 run%1:04:01:: run%1:11:02::
hom_2096_18 reception%1:10:00:: reception%1:10:01::
hom_2099_9 marble%1:27:00:: marble%1:06:00::
hom_2102_5 denomination%1:14:00:: denomination%1:14:01::
hom_2103_14 ruler%1:18:00:: ruler%1:06:00::
hom_2107_11 needle%2:32:00:: needle%2:35:00::
hom_2108_9 blue%1:07:00:: blue%3:00:00:chromatic:00
hom_2111_15 lot%1:14:01:: lot%1:23:00::
hom_2117_7 hang%2:35:03:: hang%2:35:00::
hom_2119_7 play%2:33:00:: play%1:10:01::
hom_2120_18 change%1:19:00:: change%1:11:00::
hom_2122_7 check%2:31:02:: check%2:31:00::
hom_2125_13 pin%1:06:01:: pin%1:06:04::
hom_2126_13 scale%1:24:01:: scale%1:24:00::
hom_2129_14 red%1:07:00:: red%3:00:01:chromatic:00
hom_2135_12 root%2:35:00:: root%2:30:00::
hom_2136_19 stag%2:32:09:: stag%2:32:01::
hom_2138_13 tick%1:05:00:: tick%2:39:01::
hom_2140_17 dirty%3:00:01:: dirty%3:00:00:nasty:00
hom_2141_10 accounting%1:04:00:: account%2:42:01::
hom_2143_1 home%1:15:04:: home%1:06:00::
hom_2147_4 wire%2:40:00:: wire%2:35:01::
hom_2150_1 pick%1:09:00:: pick%1:06:01::
hom_2152_11 dribbling%1:04:00:: dribble%2:35:00::
hom_2155_10 class%1:14:01:: class%1:04:00::
hom_2157_6 see%2:31:01:: see%2:39:00::
hom_2158_11 degree%1:23:00:: degree%1:09:00::
hom_2160_13 beat%1:11:00:: beat%2:38:00::
hom_2161_10 part%1:09:02:: part%1:24:00::
hom_2163_14 underground%1:14:00:: underground%4:02:00::
hom_2165_11 blow%1:04:01:: blow%1:06:00::
hom_2173_12 goal%1:04:00:: goal%1:09:00::
hom_2176_10 brace%2:35:01:: brace%2:37:00::
hom_2179_10 screw%2:35:04:: screw%2:33:00::
hom_2180_12 goal%1:04:00:: goal%1:09:00::
hom_2181_18 catch%1:17:00:: catch%1:04:02::
hom_2185_13 shady%3:00:00:untrustworthy:00 shady%3:00:00:shaded:01
hom_2186_16 trash%1:27:00:: trash%2:40:00::
hom_2187_4 step%1:04:02:: step%1:04:00::
hom_2192_11 cushion%1:06:00:: cushion%2:35:00::
hom_2200_9 fair%1:04:01:: fair%1:14:01::
hom_2202_11 fire%2:33:02:: fire%2:41:00::
hom_2204_8 plaster%2:35:00:: plaster%2:35:11::
hom_2208_10 stick%1:06:04:: stick%1:06:01::
hom_2210_12 takeoff%1:04:00:: takeoff%1:10:00::
hom_2214_4 spring%1:28:00:: spring%1:06:00::
hom_2216_6 turn%2:38:00:: turn%1:28:00::
hom_2217_15 venture%2:32:00:: venture%2:41:01::
hom_2220_3 feel%2:29:00:: feel%2:39:01::
hom_2222_4 shot%1:04:00:: shoot%2:35:01::
hom_2227_9 hook%2:36:00:: hook%2:35:03::
hom_2228_19 bank%1:14:00:: bank%1:17:01::
hom_2229_5 credit%1:10:00:: credit%1:21:01::
hom_2231_12 position%1:04:01:: position%1:04:02::
hom_2233_6 fall%1:28:00:: fall%2:43:00::
hom_2235_13 bounce%2:35:03:: bounce%2:38:00::
hom_2236_3 step%1:04:03:: step%1:04:00::
hom_2239_9 high%3:00:02:: high%3:00:01::
hom_2241_12 time%1:28:00:: time%1:11:00::
hom_2242_8 degree%1:23:00:: degree%1:10:00::
hom_2244_9 waste%1:27:00:: waste%1:04:00::
hom_2245_10 battery%1:06:00:: battery%1:04:01::
